Item ID,Item Name,SKU,Description,Rate,Account,Account Code,Tax Name,Tax Percentage,Tax Type,Purchase Tax Name,Purchase Tax Percentage,Purchase Tax Type,Product Type,Source,Reference ID,Last Sync Time,Status,Usage unit,Unit Name,Purchase Rate,Purchase Account,Purchase Account Code,Purchase Description,Inventory Account,Inventory Account Code,Inventory Valuation Method,Reorder Point,Vendor,Vendor Number,Opening Stock,Opening Stock Value,Stock On Hand,Item Type,Sellable,Purchasable,Track Inventory
6642928000000164260,Quickbayt Spray,,Insecticide for fly,NGN 25000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 20000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,5.00,NGN 20000.00,6.00,Inventory,true,true,true
6642928000000164291,Mosquito Dunks,,Floating Sustained Released Larvicide,NGN 6000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 4000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,19.00,NGN 4000.00,19.00,Inventory,true,true,true
6642928000000164322,Fly Catcher (small),,Disposable,NGN 15000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 10000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,2.00,NGN 10000.00,0.00,Inventory,true,true,true
6642928000000164353,No Fear,,Snake Repellant,NGN 1500.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 1000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,5.00,NGN 1000.00,0.00,Inventory,true,true,true
6642928000000164384,Bedbug Killer Spray,,kills prevent protect,NGN 10000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 7000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,22.00,NGN 7000.00,7.00,Inventory,true,true,true
6642928000000164415,Greenleaf Powder Cockroach and Ant,,Cockroach killer,NGN 500.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 200.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,9.00,NGN 200.00,48.00,Inventory,true,true,true
6642928000000164448,Bait Gun,,bait gun,NGN 40000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 29000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 29000.00,8.00,Inventory,true,true,true
6642928000000164479,Fumisect,,Mist Spray  Insecticide,NGN 3800.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 2500.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,9.00,NGN 2500.00,8.00,Inventory,true,true,true
6642928000000164510,Green Ant Bait Station,,Green Ant Bait Station,NGN 10000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 8000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,2.00,NGN 8000.00,1.00,Inventory,true,true,true
6642928000000164541,Fly Bait Station,,Fly Bait Station,NGN 7000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 5000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 5000.00,0.00,Inventory,true,true,true
6642928000000164572,AL-CYPERNET 10SC,,For control of of crawling and flying insect,NGN 35000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 20000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 20000.00,2.00,Inventory,true,true,true
6642928000000164603,No Fly Zone,,for rapid knock down,NGN 10000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 5000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 5000.00,1.00,Inventory,true,true,true
6642928000000164634,Fostoxin,,Fumigation Tablet,NGN 7000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 5000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 5000.00,0.00,Inventory,true,true,true
6642928000000164665,Weedol Root Killer,,kills weed to the root,NGN 15000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 10000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 10000.00,0.00,Inventory,true,true,true
6642928000000164696,Cockroach Killing Bait Powder (Canye),,Powerful and effective Home Defense,NGN 300.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 150.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,38.00,NGN 150.00,31.00,Inventory,true,true,true
6642928000000164727,Roundup Turbo,,Herbicide,NGN 8000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 5000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,6.00,NGN 5000.00,3.00,Inventory,true,true,true
6642928000000164758,Slug & Snail Killer Doof,,shower proof upto 10days,NGN 35000.00,Sales,,,,,,,,goods,2,,,Inactive,Pcs,,NGN 15000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,5.00,NGN 15000.00,5.00,Inventory,true,true,true
6642928000000164789,Slug & Snail Killer Petshield,,shower proof upto 10days,NGN 25000.00,Sales,,,,,,,,goods,2,,,Inactive,Pcs,,NGN 20000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,3.00,NGN 20000.00,3.00,Inventory,true,true,true
6642928000000164820,Butane Battery,,for use in portable gas appliance,NGN 7000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 5000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 5000.00,1.00,Inventory,true,true,true
6642928000000164851,Kriskolins Powder,,kills cockroach and ants,NGN 200.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 100.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,41.00,NGN 100.00,31.00,Inventory,true,true,true
6642928000000164882,Snake Repel BlosFields,,Snake Repel Blos field,NGN 17000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 15000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,2.00,NGN 15000.00,0.00,Inventory,true,true,true
6642928000000164913,snake -a-way Hose -END Sprayer,,snake repelling spray,NGN 75000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 45000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,1.00,NGN 45000.00,1.00,Inventory,true,true,true
