zoho_item_id,name,sku,description,price,stock_quantity
6642928000000166370,Disposable facemask,,Imate 3play,50,40
6642928000000166401,ITE german brush,,wooden handbrush,2000,5
6642928000000166432,"Paint brush (big) 4""",,red,800,7
6642928000000166463,"Paint brush (Medium) 3""",,red,700,9
6642928000000166494,"Paint brush (Small) 2""",,red,500,3
6642928000000166525,Caution Mop Bucket,,yellow caution bucket 20litres (Industrial Cleaning Bucket),55000,0
6642928000000166556,Scrubbing pad (White),,Buffing pad,20000,0
6642928000000166587,Scrubbing pad (Black),,,20000,6
6642928000000166618,Scrubbing brush,,,40000,1
6642928000000166649,Toilet Bag,,wears when going to toilet,2500,1
6642928000000166680,Albrite Carpet and Upholstery Cleaner (4ltr),,Carpet and upholstery cleaner,8500,2
6642928000000166711,Albrite Cleaner (1lt),,Carpet and upholstery cleaner,2700,4
6642928000000166742,Izal (Disinfectant 1L),,Disinfectant 1L,4700,0
6642928000000166773,Izal (Disinfectant 150ml),,Disinfectant 150ml,1000,0
6642928000000166804,Olivia Tile/floor Cleaner,,floor cleaner,2600,0
6642928000000166835,Dovion Power plus,,Toilet/Tiles Floor Cleaner,9000,2
6642928000000166866,Kingfisher Home,,Interior Dehumidifier,15000,3
6642928000000166877,Scraper (local),,yellow scraper big,2000,0
6642928000000166908,Odor Remover bag,,Absorbs odor like sponge,33000,4
6642928000000166939,bamboo Charcoal,,Odour Control,7000,0
6642928000000166970,Pet Odour Eliminator,,Clear the air,21000,3
6642928000000167001,2sure handwash,,kills 99% of germs,2200,0
6642928000000167032,Sanitol Handwash,,Anti Bacterial,2000,0
6642928000000167063,Evans Spotlight,,spot and stain remover,6500,0
6642928000000167094,latex Examination Gloves,,,100,21
6642928000000167125,Expandable Garden Hose 60m,,multi setting spray gun 60m,105000,1
6642928000000167156,Window glass squeegee wiper,,"Cleaning glass surfaces, prevents soap scum buildup on glass",10000,2
6642928000000167187,Ash Industrial Cobweb broom,,Ash Color,21000,2
6642928000000167218,Cordless Trimmer,,Zip Trim,18000,1
6642928000000167229,Mr Sheen,,multi surface polish,3000,9
6642928000000167260,scouring powder,,Shine All / We care,2000,2
6642928000000167291,Shock,,Anti Sumbat Drain Opener,7000,3
6642928000000167322,Wind Air Freshener Gel,,150g,1200,3
6642928000000167353,Arola Magic Cool,,Odour absorber for fridge,3000,1
6642928000000167384,Swiss Flower,,Air freshener,2800,0
